Season,Hour,WindZ0,WindZ1,PVZ0,PVZ1
0,0,0.500928678,0.500928678,0,0
0,1,0.449758544,0.449758544,0,0
0,2,0.461552749,0.461552749,0,0
0,3,0.461367013,0.461367013,0,0
0,4,0.410846954,0.410846954,0,0
0,5,0.296062407,0.296062407,0,0
0,6,0.220839525,0.220839525,0,0
0,7,0.1647474,0.1647474,0.047854785,0.047854785
0,8,0.122213967,0.122213967,0.115676551,0.115676551
0,9,0.069478081,0.069478081,0.167326733,0.167326733
0,10,0.053677563,0.053677563,0.186633647,0.186633647
0,11,0.110143014,0.110143014,0.17359736,0.17359736
0,12,0.208748143,0.208748143,0.129372937,0.129372937
0,13,0.355869242,0.355869242,0.063531353,0.063531353
0,14,0.481983655,0.481983655,0,0
0,15,0.569093611,0.569093611,0,0
0,16,0.602804606,0.602804606,0,0
0,17,0.630664933,0.630664933,0,0
0,18,0.661218425,0.661218425,0,0
0,19,0.675130015,0.675130015,0,0
0,20,0.707745171,0.707745171,0,0
0,21,0.699665676,0.699665676,0,0
0,22,0.685364042,0.685364042,0,0
0,23,0.674962853,0.674962853,0,0
1,0,0.319159125,0.319159125,0,0
1,1,0.294305482,0.294305482,0,0
1,2,0.181302111,0.181302111,0,0
1,3,0.111938975,0.111938975,0.026542324,0.026542324
1,4,0.109536988,0.109536988,0.103586801,0.103586801
1,5,0.104312576,0.104312576,0.20459109,0.20459109
1,6,0.108921412,0.108921412,0.296987088,0.296987088
1,7,0.11637041,0.11637041,0.400860818,0.400860818
1,8,0.11566436,0.11566436,0.49856528,0.49856528
1,9,0.124356927,0.124356927,0.540889527,0.540889527
1,10,0.133585239,0.133585239,0.558106169,0.558106169
1,11,0.138550646,0.138550646,0.565997131,0.565997131
1,12,0.170656378,0.170656378,0.509038737,0.509038737
1,13,0.221216959,0.221216959,0.43543759,0.43543759
1,14,0.317810892,0.317810892,0.326111908,0.326111908
1,15,0.368281001,0.368281001,0.206025811,0.206025811
1,16,0.401632074,0.401632074,0.095265423,0.095265423
1,17,0.419017208,0.419017208,0.010329986,0.010329986
1,18,0.421660458,0.421660458,0,0
1,19,0.406244456,0.406244456,0,0
1,20,0.336721659,0.336721659,0,0
1,21,0.250487848,0.250487848,0,0
1,22,0.198687245,0.198687245,0,0
1,23,0.177044527,0.177044527,0,0
2,0,0.012647263,0.012647263,0.000369004,0.000369004
2,1,0.011607762,0.011607762,0.010086089,0.010086089
2,2,0.025814276,0.025814276,0.075891759,0.075891759
2,3,0.034476784,0.034476784,0.164452632,0.164452632
2,4,0.080734581,0.080734581,0.27404674,0.27404674
2,5,0.177494802,0.177494802,0.38499385,0.38499385
2,6,0.201749827,0.201749827,0.489052891,0.489052891
2,7,0.205647956,0.205647956,0.569126679,0.569126679
2,8,0.152461883,0.152461883,0.623862226,0.623862226
2,9,0.13176022,0.13176022,0.664575633,0.664575633
2,10,0.146569647,0.146569647,0.654366544,0.654366544
2,11,0.162156965,0.162156965,0.645141451,0.645141451
2,12,0.167706168,0.167706168,0.570971697,0.570971697
2,13,0.194733195,0.194733195,0.474784748,0.474784748
2,14,0.236659737,0.236659737,0.398154969,0.398154969
2,15,0.244196119,0.244196119,0.321525203,0.321525203
2,16,0.281531532,0.281531532,0.217835166,0.217835166
2,17,0.297124047,0.297124047,0.119065178,0.119065178
2,18,0.305440055,0.305440055,0.049569483,0.049569483
2,19,0.273388773,0.273388773,0.004674034,0.004674034
2,20,0.291233541,0.291233541,0,0
2,21,0.274168399,0.274168399,0,0
2,22,0.258749134,0.258749134,0,0
2,23,0.251905752,0.251905752,0,0
3,0,0.096861289,0.096861289,0,0
3,1,0.056528856,0.056528856,0,0
3,2,0.048685452,0.048685452,0,0
3,3,0.029024637,0.029024637,0,0
3,4,0.026498481,0.026498481,0.009708738,0.009708738
3,5,0.030545054,0.030545054,0.062028047,0.062028047
3,6,0.039232197,0.039232197,0.114347357,0.114347357
3,7,0.053999325,0.053999325,0.177993528,0.177993528
3,8,0.071549106,0.071549106,0.233872708,0.233872708
3,9,0.079480256,0.079480256,0.26343041,0.26343041
3,10,0.078130273,0.078130273,0.287270766,0.287270766
3,11,0.090280121,0.090280121,0.286299881,0.286299881
3,12,0.111879852,0.111879852,0.234843571,0.234843571
3,13,0.136684104,0.136684104,0.173678533,0.173678533
3,14,0.130791428,0.130791428,0.111003236,0.111003236
3,15,0.11677354,0.11677354,0.042179072,0.042179072
3,16,0.124703004,0.124703004,0.000755124,0.000755124
3,17,0.120148498,0.120148498,0,0
3,18,0.167141411,0.167141411,0,0
3,19,0.269827877,0.269827877,0,0
3,20,0.328045899,0.328045899,0,0
3,21,0.342895714,0.342895714,0,0
3,22,0.376476544,0.376476544,0,0
3,23,0.369220385,0.369220385,0,0
4,0,0.331574864,0.331574864,0,0
4,1,0.368766484,0.368766484,0,0
4,2,0.390768037,0.390768037,0,0
4,3,0.390861131,0.390861131,0,0
4,4,0.42909232,0.42909232,0,0
4,5,0.48386346,0.48386346,0,0
4,6,0.511093871,0.511093871,0,0
4,7,0.523351435,0.523351435,0.002833998,0.002833998
4,8,0.516757176,0.516757176,0.03694332,0.03694332
4,9,0.508145849,0.508145849,0.061538451,0.061538451
4,10,0.496353763,0.496353763,0.06902834,0.06902834
4,11,0.488518231,0.488518231,0.050101215,0.050101215
4,12,0.505430566,0.505430566,0.015283401,0.015283401
4,13,0.490147401,0.490147401,0,0
4,14,0.573467804,0.573467804,0,0
4,15,0.51450737,0.51450737,0,0
4,16,0.487432118,0.487432118,0,0
4,17,0.471388672,0.471388672,0,0
4,18,0.446159814,0.446159814,0,0
4,19,0.473390225,0.473390225,0,0
4,20,0.537005431,0.537005431,0,0
4,21,0.54102405,0.54102405,0,0
4,22,0.496121024,0.496121024,0,0
4,23,0.426764934,0.426764934,0,0
